,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,pensais,thought
5,genre,kind
6,mois,month
7,frère,brother
8,laisser,let
9,mettre,to put
10,laisse,leash
11,eux,them
12,ville,city
13,arrivé,come
14,devrait,should
15,bébé,baby
16,vont,will
17,pendant,while
18,aucune,any
19,place,square
20,compris,understood
21,savais,knew
22,étaient,were
23,pourrais,could
24,affaire,case
25,donner,give
26,type,type
27,leurs,their
28,donné,given
29,train,train
30,corps,body
31,façon,way
32,écoute,listen
33,trouve,find
34,perdu,lost
35,main,hand
36,sois,be
37,tiens,here
38,matin,morning
39,tellement,so much
40,enfant,child
41,point,point
42,suite,after
43,pardon,sorry
44,venez,come
45,vers,towards
46,minutes,minutes
47,demandé,request
48,chambre,bedroom
49,belle,beautiful
50,droit,law
51,aimerais,would like to
52,mari,husband
53,cause,cause
54,enfin,finally
55,nouvelle,new
56,boulot,job
57,dirait,would say
58,compte,account
59,donne,given
60,loin,far
61,filles,girls
62,jouer,to play
